ID	Type	Name	Level	Arg0	Arg1	Arg2	Arg3	Arg4	Description
0	Add	추가	0	[0,1]	[777,7777]	[1,3,9]			"{0}번 슬롯머신에 {1s} 문양 {2}개를 추가합니다."
1	Add	추가	1	[0,1]	[0,1,2,777,7777]	[5,6,7]			"{0}번 슬롯머신에 {1s} 문양 {2}개를 추가합니다."
2	Add	추가	2	[0,1]	[0,1,2,777,7777]	[10]			"{0}번 슬롯머신에 {1s} 문양 {2}개와 {3s} 문양 {4}개를 추가합니다."
3	Add	추가	3	[0,1]	[0,1,2,777,7777]	[15,16,17]			"{0}번 슬롯머신에 {1s} 문양 {2}개와 {3s} 문양 {4}개를 추가합니다."
4	Change	교체	0	[0,1]	[0,1,2]	[1]	[0,1,2]		{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개가 {3s} 문양으로 바뀝니다.
5	Change	교체	1	[0,1]	[0,1,2]	[1]	[0,1,2]		{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개가 {3s} 문양으로 바뀝니다.
6	Change	교체	2	[0,1]	[0,1,2]	[1]	[0,1,2]		{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개가 {3s} 문양으로 바뀝니다.
7	Change	교체	3	[0,1]	[0,1,2]	[1]	[0,1,2]		{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개가 {3s} 문양으로 바뀝니다.
8	Remove	제거	0	[0,1]	[0,1,2]	[1]			{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개를 제거합니다.
9	Remove	제거	1	[0,1]	[0,1,2]	[1]			{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개를 제거합니다.
10	Remove	제거	2	[0,1]	[0,1,2]	[1]			{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개를 제거합니다.
11	Remove	제거	3	[0,1]	[0,1,2]	[1]			{0}번 슬롯머신에 들어있는 {1s} 문양 {2}개를 제거합니다.
12	SoloMachine	과부하	1	[0,1]					"다음 라운드 동안 {0}번 슬롯머신만 사용할 수 있습니다."
13	SoloMachine	과부하	2	[0,1]	[0,1,2]	[2]			"다음 라운드 동안 {0}번 슬롯머신만 사용할 수 있지만, {1s} 문양의 효과가 {2}번 발동합니다."
14	SoloMachine	과부하	3	[0,1]	[0,1,2]	[3]			"다음 라운드 동안 {0}번 슬롯머신만 사용할 수 있지만, {1s} 문양의 효과가 {2}번 발동합니다."
15	Cooldown	냉각로	2						하나의 슬롯머신만 돌릴 때 생기는 과열 현상이 다음 라운드에서 발생하지 않습니다.
16	Cooldown	냉각로	3						하나의 슬롯머신만 돌릴 때 생기는 과열 현상이 다음 라운드에서 발생하지 않습니다.
